Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACQ,Artius Acquisition Inc. Class A Common Stock,$10.00,-0.01,-0.10%,905625000.00,United States,2020,1583596,Basic Industries,Major Chemicals
AEGN,Aegion Corp Common Stock,$30.50,-0.06,-0.196%,937594980.00,United States,,39037,Basic Industries,Water Supply
AGX,Argan Inc. Common Stock,$53.00,-1.60,-2.93%,833167208.00,United States,,72533,Basic Industries,Engineering & Construction
ALTO,Alto Ingredients Inc. Common Stock,$4.72,-0.22,-4.453%,345356174.00,United States,,1866488,Basic Industries,Major Chemicals
AMRK,A-Mark Precious Metals Inc. Common Stock,$35.873,-1.407,-3.774%,364735894.00,United States,,23562,Basic Industries,Other Specialty Stores
AMTX,Aemetis Inc. Common Stock,$17.60,-1.39,-7.32%,383955510.00,United States,,1504721,Basic Industries,Major Chemicals
AMWD,American Woodmark Corporation Common Stock,$103.22,-1.97,-1.873%,1754858393.00,United States,1986,28452,Basic Industries,Forest Products
ASIX,AdvanSix Inc. Common Stock ,$28.24,-0.87,-2.989%,791678324.00,United States,2016,62338,Basic Industries,Major Chemicals
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),$20.25,-0.05,-0.246%,625771960.00,United States,,72092,Basic Industries,Agricultural Chemicals
BBCP,Concrete Pumping Holdings Inc. Common Stock,$7.53,-0.255,-3.276%,425214913.00,United States,2017,134117,Basic Industries,Engineering & Construction
BDC,Belden Inc Common Stock,$43.00,-0.72,-1.647%,1922596478.00,United States,,113619,Basic Industries,Telecommunications Equipment
CDXS,Codexis Inc. Common Stock,$22.86,-0.74,-3.136%,1472200368.00,United States,2010,148388,Basic Industries,Major Chemicals
CENX,Century Aluminum Company Common Stock,$16.73,-0.19,-1.123%,1506633484.00,United States,1996,937325,Basic Industries,Aluminum
CLW,Clearwater Paper Corporation Common Stock,$35.59,-0.52,-1.44%,593585039.00,United States,,61604,Basic Industries,Paper
CRS,Carpenter Technology Corporation Common Stock,$40.83,-0.84,-2.016%,1960900355.00,United States,,63391,Basic Industries,Steel/Iron Ore
CVA,Covanta Holding Corporation Common Stock,$13.48,-0.33,-2.39%,1781323955.00,United States,,201155,Basic Industries,Electric Utilities: Central
EVA,Enviva Partners LP Common units representing limited partner interests,$47.50,-0.05,-0.105%,1901097488.00,United States,2015,30173,Basic Industries,Forest Products
FF,FutureFuel Corp.  Common shares,$13.09,-0.51,-3.75%,572599051.00,United States,,81061,Basic Industries,Major Chemicals
FOE,Ferro Corporation Common Stock,$17.376,-0.324,-1.831%,1436325025.00,United States,,64408,Basic Industries,Paints/Coatings
GATO,Gatos Silver Inc. Common Stock,$9.38,-0.95,-9.197%,557256908.00,United States,2020,628896,Basic Industries,Precious Metals
GEVO,Gevo Inc. Common Stock,$6.23,-0.10,-1.58%,1234611030.00,United States,2011,11451733,Basic Industries,Major Chemicals
GLDD,Great Lakes Dredge & Dock Corporation Common Stock,$15.16,0.08,0.531%,992317902.00,United States,,250268,Basic Industries,Military/Government/Technical
GLT,Glatfelter Corporation Common Stock,$17.125,0.065,0.381%,761234643.00,United States,,75577,Basic Industries,Paper
GPRE,Green Plains Inc. Common Stock,$24.56,-1.32,-5.10%,1096720930.00,United States,,582247,Basic Industries,Major Chemicals
GSS,Golden Star Resources Ltd Common Stock,$3.37,-0.06,-1.749%,375126815.00,United States,,195658,Basic Industries,Precious Metals
GVA,Granite Construction Incorporated Common Stock,$39.50,-0.10,-0.253%,1808669253.00,United States,,150641,Basic Industries,Military/Government/Technical
HCCI,Heritage-Crystal Clean Inc. Common Stock,$28.67,-0.41,-1.41%,692508540.00,United States,2008,14178,Basic Industries,Miscellaneous
